	關卡類型	主關卡ID	次關卡ID	難度	前置關卡	背景編碼	ICON編碼	開放等級	消耗AP	次數限制	重置規則	戰力指標	時間限制	環境損傷	單人模式	特殊規則	場景編碼	配置編碼	音樂	BOSS進場音樂	BOSS戰音樂	隱藏要素	通關條件1	通關條件1參數	通關條件2	通關條件2參數	通關條件3	通關條件3參數	首破經驗	首破金幣	首破戰利品	獲得經驗	獲得金幣	獲得戰利品	獲得熟練度	BOSS介紹	路徑	開始時間	結束時間	起始版本	結束版本	名稱	說明	
100928	4	10092	1	8	null	UI_SPEvent_BG_20	null	22	3	-1	0	796072	0	15	0	0	stage04_2201_e1	stage04_2201_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss14	0	1	0	2	400	14	8	0	0	56931	0	0	56931	0	GENERAL	null	null	null	15.02.0000	null	STAGE_NAME_100261	STAGE_TIP_POINTONLY	
100930	4	10092	2	1	null	UI_SPEvent_BG_20	null	22	0	-1	0	0	0	15	0	200007	stage04_2201_e1	stage04_2201_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss14	0	4	1	2	400	14	8	0	0	0	0	0	0	0	GENERAL	null	null	null	15.02.0000	null	STAGE_NAME_100262	STAGE_TIP_POINTONLY	
100931	4	10093	1	1	null	UI_SPEvent_BG_41	null	22	3	-1	0	13160	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe5,bgm_st_e5b	0	1	0	2	300	14	7	0	0	56941	0	0	56941	0	FERHAM	null	null	null	15.04.0000	null	STAGE_NAME_100551	STAGE_TIP_POINTONLY	
100932	4	10093	1	2	null	UI_SPEvent_BG_41	null	22	3	-1	0	51276	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe5,bgm_st_e5b	0	1	0	2	300	14	7	0	0	56951	0	0	56951	0	FERHAM	null	null	null	15.04.0000	null	STAGE_NAME_100551	STAGE_TIP_POINTONLY	
100933	4	10093	1	3	null	UI_SPEvent_BG_41	null	22	3	-1	0	105888	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe5,bgm_st_e5b	0	1	0	2	300	14	7	0	0	56961	0	0	56961	0	FERHAM	null	null	null	15.04.0000	null	STAGE_NAME_100551	STAGE_TIP_POINTONLY	
100934	4	10093	1	4	null	UI_SPEvent_BG_41	null	22	3	-1	0	188048	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe5,bgm_st_e5b	0	1	0	2	300	14	7	0	0	56971	0	0	56971	0	FERHAM	null	null	null	15.04.0000	null	STAGE_NAME_100551	STAGE_TIP_POINTONLY	
100935	4	10093	1	5	null	UI_SPEvent_BG_41	null	22	3	-1	0	291560	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe5,bgm_st_e5b	0	1	0	2	300	14	7	0	0	56981	0	0	56981	0	FERHAM	null	null	null	15.04.0000	null	STAGE_NAME_100551	STAGE_TIP_POINTONLY	
100936	4	10093	1	6	null	UI_SPEvent_BG_41	null	22	3	-1	0	363201	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe5,bgm_st_e5b	0	1	0	2	300	14	7	0	0	56991	0	0	56991	0	FERHAM	null	null	null	15.04.0000	null	STAGE_NAME_100551	STAGE_TIP_POINTONLY	
100937	4	10093	1	7	null	UI_SPEvent_BG_41	null	22	3	-1	0	438322	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe5,bgm_st_e5b	0	1	0	2	300	14	7	0	0	57001	0	0	57001	0	FERHAM	null	null	null	15.04.0000	null	STAGE_NAME_100551	STAGE_TIP_POINTONLY	
100938	4	10093	1	8	null	UI_SPEvent_BG_41	null	22	3	-1	0	796072	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe5,bgm_st_e5b	0	1	0	2	300	14	7	0	0	57011	0	0	57011	0	FERHAM	null	null	null	15.04.0000	null	STAGE_NAME_100551	STAGE_TIP_POINTONLY	
100940	4	10093	2	1	null	UI_SPEvent_BG_41	null	22	0	-1	0	0	0	15	0	200007	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe5,bgm_st_e5b	0	4	1	2	300	14	7	0	0	0	0	0	0	0	FERHAM	null	null	null	15.04.0000	null	STAGE_NAME_100558	STAGE_TIP_POINTONLY	
100941	4	10094	1	1	null	UI_SPEvent_BG_21	null	22	3	-1	0	13160	0	15	0	0	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	BGMe3,bgm_st_e3b	0	1	0	2	400	3	30	0	0	57021	0	0	57021	0	FORTE	null	null	null	15.06.0000	null	STAGE_NAME_100271	STAGE_TIP_BOXGACHA	
100942	4	10094	1	2	null	UI_SPEvent_BG_21	null	22	3	-1	0	51276	0	15	0	0	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	BGMe3,bgm_st_e3b	0	1	0	2	400	3	30	0	0	57031	0	0	57031	0	FORTE	null	null	null	15.06.0000	null	STAGE_NAME_100271	STAGE_TIP_BOXGACHA	
100943	4	10094	1	3	null	UI_SPEvent_BG_21	null	22	3	-1	0	105888	0	15	0	0	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	BGMe3,bgm_st_e3b	0	1	0	2	400	3	30	0	0	57041	0	0	57041	0	FORTE	null	null	null	15.06.0000	null	STAGE_NAME_100271	STAGE_TIP_BOXGACHA	
100944	4	10094	1	4	null	UI_SPEvent_BG_21	null	22	3	-1	0	188048	0	15	0	0	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	BGMe3,bgm_st_e3b	0	1	0	2	400	3	30	0	0	57051	0	0	57051	0	FORTE	null	null	null	15.06.0000	null	STAGE_NAME_100271	STAGE_TIP_BOXGACHA	
100945	4	10094	1	5	null	UI_SPEvent_BG_21	null	22	3	-1	0	291560	0	15	0	0	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	BGMe3,bgm_st_e3b	0	1	0	2	400	3	30	0	0	57061	0	0	57061	0	FORTE	null	null	null	15.06.0000	null	STAGE_NAME_100271	STAGE_TIP_BOXGACHA	
100946	4	10094	1	6	null	UI_SPEvent_BG_21	null	22	3	-1	0	363201	0	15	0	0	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	BGMe3,bgm_st_e3b	0	1	0	2	400	3	30	0	0	57071	0	0	57071	0	FORTE	null	null	null	15.06.0000	null	STAGE_NAME_100271	STAGE_TIP_BOXGACHA	
100947	4	10094	1	7	null	UI_SPEvent_BG_21	null	22	3	-1	0	438322	0	15	0	0	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	BGMe3,bgm_st_e3b	0	1	0	2	400	3	30	0	0	57081	0	0	57081	0	FORTE	null	null	null	15.06.0000	null	STAGE_NAME_100271	STAGE_TIP_BOXGACHA	
100948	4	10094	1	8	null	UI_SPEvent_BG_21	null	22	3	-1	0	796072	0	15	0	0	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	BGMe3,bgm_st_e3b	0	1	0	2	400	3	30	0	0	57091	0	0	57091	0	FORTE	null	null	null	15.06.0000	null	STAGE_NAME_100272	STAGE_TIP_BOXGACHA	
100950	4	10094	2	1	null	UI_SPEvent_BG_21	null	22	0	-1	0	0	0	15	0	200007	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	BGMe3,bgm_st_e3b	0	4	1	2	400	3	30	0	0	0	0	0	0	0	FORTE	null	null	null	15.06.0000	null	STAGE_NAME_100271	STAGE_TIP_BOXGACHA	
100951	4	10095	1	1	null	UI_SPEvent_BG_22	null	22	3	-1	0	13160	0	15	0	0	stage04_2501_e1	stage04_2501_e1	BGM02,bgm_st_repli_airforce	null	BGM00,bgm_st_boss01	0	2	400	3	30	16	3	0	0	57101	0	0	57101	0	PALETTE	null	null	null	15.08.0000	null	STAGE_NAME_100291	STAGE_TIP_POINTONLY	
100952	4	10095	1	2	null	UI_SPEvent_BG_22	null	22	3	-1	0	51276	0	15	0	0	stage04_2501_e1	stage04_2501_e1	BGM02,bgm_st_repli_airforce	null	BGM00,bgm_st_boss01	0	2	400	3	30	16	3	0	0	57111	0	0	57111	0	PALETTE	null	null	null	15.08.0000	null	STAGE_NAME_100291	STAGE_TIP_POINTONLY	
100953	4	10095	1	3	null	UI_SPEvent_BG_22	null	22	3	-1	0	105888	0	15	0	0	stage04_2501_e1	stage04_2501_e1	BGM02,bgm_st_repli_airforce	null	BGM00,bgm_st_boss01	0	2	400	3	30	16	3	0	0	57121	0	0	57121	0	PALETTE	null	null	null	15.08.0000	null	STAGE_NAME_100291	STAGE_TIP_POINTONLY	
100954	4	10095	1	4	null	UI_SPEvent_BG_22	null	22	3	-1	0	188048	0	15	0	0	stage04_2501_e1	stage04_2501_e1	BGM02,bgm_st_repli_airforce	null	BGM00,bgm_st_boss01	0	2	400	3	30	16	3	0	0	57131	0	0	57131	0	PALETTE	null	null	null	15.08.0000	null	STAGE_NAME_100291	STAGE_TIP_POINTONLY	
100955	4	10095	1	5	null	UI_SPEvent_BG_22	null	22	3	-1	0	291560	0	15	0	0	stage04_2501_e1	stage04_2501_e1	BGM02,bgm_st_repli_airforce	null	BGM00,bgm_st_boss01	0	2	400	3	30	16	3	0	0	57141	0	0	57141	0	PALETTE	null	null	null	15.08.0000	null	STAGE_NAME_100291	STAGE_TIP_POINTONLY	
100956	4	10095	1	6	null	UI_SPEvent_BG_22	null	22	3	-1	0	363201	0	15	0	0	stage04_2501_e1	stage04_2501_e1	BGM02,bgm_st_repli_airforce	null	BGM00,bgm_st_boss01	0	2	400	3	30	16	3	0	0	57151	0	0	57151	0	PALETTE	null	null	null	15.08.0000	null	STAGE_NAME_100291	STAGE_TIP_POINTONLY	
100957	4	10095	1	7	null	UI_SPEvent_BG_22	null	22	3	-1	0	438322	0	15	0	0	stage04_2501_e1	stage04_2501_e1	BGM02,bgm_st_repli_airforce	null	BGM00,bgm_st_boss01	0	2	400	3	30	16	3	0	0	57161	0	0	57161	0	PALETTE	null	null	null	15.08.0000	null	STAGE_NAME_100291	STAGE_TIP_POINTONLY	
100958	4	10095	1	8	null	UI_SPEvent_BG_22	null	22	3	-1	0	796072	0	15	0	0	stage04_2501_e1	stage04_2501_e1	BGM02,bgm_st_repli_airforce	null	BGM00,bgm_st_boss01	0	2	400	3	30	16	3	0	0	57171	0	0	57171	0	PALETTE	null	null	null	15.08.0000	null	STAGE_NAME_100291	STAGE_TIP_POINTONLY	
100960	4	10095	2	1	null	UI_SPEvent_BG_08	null	22	0	-1	0	0	0	15	0	200007	stage04_2501_e1	stage04_2501_e1	BGM02,bgm_st_repli_airforce	null	BGM00,bgm_st_boss01	0	4	1	3	30	16	3	0	0	0	0	0	0	0	PALETTE	null	null	null	15.08.0000	null	STAGE_NAME_100292	STAGE_TIP_POINTONLY	
100961	4	10096	1	1	null	UI_SPEvent_BG_08	null	22	3	-1	0	13160	0	15	0	0	stage04_0801_e1	stage04_0801_e1	BGM01,bgm_st_park	null	null	0	1	0	2	400	3	30	0	0	57181	0	0	57181	0	PENGUINSUMMER	null	null	null	15.10.0000	null	STAGE_NAME_100081	STAGE_TIP_POINTONLY	
100962	4	10096	1	2	null	UI_SPEvent_BG_08	null	22	3	-1	0	51276	0	15	0	0	stage04_0801_e1	stage04_0801_e1	BGM01,bgm_st_park	null	null	0	1	0	2	400	3	30	0	0	57191	0	0	57191	0	PENGUINSUMMER	null	null	null	15.10.0000	null	STAGE_NAME_100081	STAGE_TIP_POINTONLY	
100963	4	10096	1	3	null	UI_SPEvent_BG_08	null	22	3	-1	0	105888	0	15	0	0	stage04_0801_e1	stage04_0801_e1	BGM01,bgm_st_park	null	null	0	1	0	2	400	3	30	0	0	57201	0	0	57201	0	PENGUINSUMMER	null	null	null	15.10.0000	null	STAGE_NAME_100081	STAGE_TIP_POINTONLY	
100964	4	10096	1	4	null	UI_SPEvent_BG_08	null	22	3	-1	0	188048	0	15	0	0	stage04_0801_e1	stage04_0801_e1	BGM01,bgm_st_park	null	null	0	1	0	2	400	3	30	0	0	57211	0	0	57211	0	PENGUINSUMMER	null	null	null	15.10.0000	null	STAGE_NAME_100081	STAGE_TIP_POINTONLY	
100965	4	10096	1	5	null	UI_SPEvent_BG_08	null	22	3	-1	0	291560	0	15	0	0	stage04_0801_e1	stage04_0801_e1	BGM01,bgm_st_park	null	null	0	1	0	2	400	3	30	0	0	57221	0	0	57221	0	PENGUINSUMMER	null	null	null	15.10.0000	null	STAGE_NAME_100081	STAGE_TIP_POINTONLY	
100966	4	10096	1	6	null	UI_SPEvent_BG_08	null	22	3	-1	0	363201	0	15	0	0	stage04_0801_e1	stage04_0801_e1	BGM01,bgm_st_park	null	null	0	1	0	2	400	3	30	0	0	57231	0	0	57231	0	PENGUINSUMMER	null	null	null	15.10.0000	null	STAGE_NAME_100081	STAGE_TIP_POINTONLY	
100967	4	10096	1	7	null	UI_SPEvent_BG_08	null	22	3	-1	0	438322	0	15	0	0	stage04_0801_e1	stage04_0801_e1	BGM01,bgm_st_park	null	null	0	1	0	2	400	3	30	0	0	57241	0	0	57241	0	PENGUINSUMMER	null	null	null	15.10.0000	null	STAGE_NAME_100081	STAGE_TIP_POINTONLY	
100968	4	10096	1	8	null	UI_SPEvent_BG_08	null	22	3	-1	0	796072	0	15	0	0	stage04_0801_e1	stage04_0801_e1	BGM01,bgm_st_park	null	null	0	1	0	2	400	3	30	0	0	57251	0	0	57251	0	PENGUINSUMMER	null	null	null	15.10.0000	null	STAGE_NAME_100081	STAGE_TIP_POINTONLY	
100970	4	10096	2	1	null	UI_SPEvent_BG_08	null	22	0	-1	0	0	0	15	0	200007	stage04_0801_e1	stage04_0801_e1	BGM01,bgm_st_park	null	null	0	4	1	2	400	3	30	0	0	0	0	0	0	0	PENGUINSUMMER	null	null	null	15.10.0000	null	STAGE_NAME_100082	STAGE_TIP_POINTONLY	
140011	8	19002	1	1	null	UI_Bossrush_BG_01	null	22	0	-1	0	0	360	15	0	200001	stage08_0101_e1	stage08_0101_e1	BGM01,bgm_st_factory	null	null	0	2	170	2	190	2	210	0	0	0	0	0	0	0	null	null	null	null	2.04.0000	null	STAGE_NAME_140011	STAGE_TIP_BOSSRUSH	
140021	8	14002	1	1	null	UI_SPEvent_BG_03	null	22	0	-1	0	0	480	15	0	200002	stage04_0301_e1	stage04_0301_e1	BGM01,bgm_st_cyberspace	null	null	0	1	0	1	0	1	0	0	0	0	0	0	0	0	DARKMAN	null	null	null	2.02.0000	null	STAGE_NAME_140021	STAGE_TIP_SPEEDRUN	
140031	8	14003	1	1	null	UI_Bossrush_BG_02	null	22	0	-1	0	0	360	15	0	200001	stage08_0102_e1	stage08_0102_e1	BGM01,bgm_st_factory	null	null	0	2	140	2	160	2	180	0	0	0	0	0	0	0	null	null	null	null	3.02.0000	null	STAGE_NAME_140011	STAGE_TIP_BOSSRUSH	
140041	8	14004	1	1	null	UI_Bossrush_BG_03	null	22	0	-1	0	0	360	15	0	200001	stage08_0103_e1	stage08_0103_e1	BGM01,bgm_st_factory	null	null	0	2	140	2	160	2	180	0	0	0	0	0	0	0	null	null	null	null	3.11.0000	null	STAGE_NAME_140011	STAGE_TIP_BOSSRUSH	
140051	8	14005	1	1	null	UI_Speedrun_BG_01	null	22	0	-1	0	0	360	15	0	200006	stage04_1301_e1	stage04_1301_e1	BGM01,bgm_st_factory	null	null	0	2	140	2	160	2	180	0	0	0	0	0	0	0	null	null	null	null	4.06.0000	null	STAGE_NAME_140051	STAGE_TIP_SPEEDRUN	
140061	8	14006	1	1	null	UI_Bossrush_BG_04	null	22	0	-1	0	0	360	15	0	200001	stage08_0104_e1	stage08_0104_e1	BGM01,bgm_st_factory	null	null	0	2	140	2	160	2	180	0	0	0	0	0	0	0	null	null	null	null	4.14.0000	null	STAGE_NAME_140011	STAGE_TIP_BOSSRUSH	
140071	8	14007	1	1	null	UI_Speedrun_BG_01	null	22	0	-1	0	0	360	15	0	200006	stage04_1801_e1	stage04_1801_e1	BGM02,bgm_st_electric	null	null	0	2	100	2	120	2	140	0	0	0	0	0	0	0	null	null	null	null	4.16.0000	null	STAGE_NAME_140051	STAGE_TIP_SPEEDRUN	
140081	8	14008	1	1	null	UI_Bossrush_BG_05	null	22	0	-1	0	0	360	15	0	200001	stage08_0105_e1	stage08_0105_e1	BGM01,bgm_st_factory	null	null	0	2	140	2	160	2	180	0	0	0	0	0	0	0	null	null	null	null	6.00.0000	null	STAGE_NAME_140011	STAGE_TIP_BOSSRUSH	
140091	8	14009	1	1	null	UI_Speedrun_BG_01	null	22	0	-1	0	0	360	15	0	200006	stage04_2401_e1	stage04_2401_e1	BGMe3,bgm_st_e3	null	null	0	2	90	2	110	2	130	0	0	0	0	0	0	0	null	null	null	null	6.04.0000	null	STAGE_NAME_140051	STAGE_TIP_SPEEDRUN	
140101	8	14010	1	1	null	UI_Bossrush_BG_06	null	22	0	-1	0	0	360	15	0	200001	stage08_0106_e1	stage08_0106_e1	BGM01,bgm_st_factory	null	null	0	2	140	2	160	2	180	0	0	0	0	0	0	0	null	null	null	null	6.07.0000	null	STAGE_NAME_140011	STAGE_TIP_BOSSRUSH	
140111	8	14011	1	1	null	UI_Speedrun_BG_01	null	22	0	-1	0	0	360	15	0	200006	stage04_2601_e1	stage04_2601_e1	BGM01,bgm_st_island	null	null	0	2	130	2	150	2	170	0	0	0	0	0	0	0	null	null	null	null	7.02.0000	null	STAGE_NAME_140051	STAGE_TIP_SPEEDRUN	
140121	8	14012	1	1	null	UI_Bossrush_BG_07	null	22	0	-1	0	0	360	15	0	200001	stage08_0107_e1	stage08_0107_e1	BGM01,bgm_st_factory	null	null	0	2	140	2	160	2	180	0	0	0	0	0	0	0	null	null	null	null	8.01.0000	null	STAGE_NAME_140011	STAGE_TIP_BOSSRUSH	
140131	8	14013	1	1	null	UI_Speedrun_BG_01	null	22	0	-1	0	0	360	15	0	200006	stage04_2801_e1	stage04_2801_e1	BGM00,bgm_st_highway	null	null	0	2	130	2	150	2	170	0	0	0	0	0	0	0	null	null	null	null	8.03.0000	null	STAGE_NAME_140051	STAGE_TIP_SPEEDRUN	
140141	8	14014	1	1	null	UI_Bossrush_BG_08	null	22	0	-1	0	0	360	15	0	200001	stage08_0108_e1	stage08_0108_e1	BGM01,bgm_st_factory	null	null	0	2	140	2	160	2	180	0	0	0	0	0	0	0	null	null	null	null	9.01.0000	null	STAGE_NAME_140011	STAGE_TIP_BOSSRUSH	
140151	8	14015	1	1	null	UI_Bossrush_BG_09	null	22	0	-1	0	0	360	15	0	200001	stage08_0109_e1	stage08_0109_e1	BGM01,bgm_st_factory	null	null	0	2	140	2	160	2	180	0	0	0	0	0	0	0	null	null	null	null	11.05.0000	null	STAGE_NAME_140011	STAGE_TIP_BOSSRUSH	
140161	8	14016	1	1	null	UI_Speedrun_BG_01	null	22	0	-1	0	0	360	15	0	200006	stage04_4901_e1	stage04_4901_e1	BGM01,bgm_st_cyberspace	null	null	0	2	130	2	150	2	170	0	0	0	0	0	0	0	null	null	null	null	12.07.0000	null	STAGE_NAME_140051	STAGE_TIP_SPEEDRUN	
140171	8	14017	1	1	null	UI_Speedrun_BG_01	null	22	0	-1	0	0	360	15	0	200006	stage04_5201_e1	stage04_5201_e1	BGM02,bgm_st_snow	null	null	0	2	130	2	150	2	170	0	0	0	0	0	0	0	null	null	null	null	14.00.0000	null	STAGE_NAME_140051	STAGE_TIP_SPEEDRUN	
145011	9	14507	1	1	null	UI_RaidBoss_BG_01	null	22	0	-1	0	0	150	15	0	200010	stage09_0101_e1	stage09_0101_e1	BGM01,bgm_st_factory	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145001	null	null	null	3.07.0000	null	STAGE_NAME_145011	STAGE_TIP_RAIDBOSS	
145012	9	14507	1	2	null	UI_RaidBoss_BG_01	null	22	0	-1	0	0	150	15	0	200010	stage09_0101_e1	stage09_0101_e1	BGM01,bgm_st_factory	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145002	null	null	null	3.07.0000	null	STAGE_NAME_145011	STAGE_TIP_RAIDBOSS	
145013	9	14507	1	3	null	UI_RaidBoss_BG_01	null	22	0	-1	0	0	150	15	0	200010	stage09_0101_e1	stage09_0101_e1	BGM01,bgm_st_factory	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145003	null	null	null	3.07.0000	null	STAGE_NAME_145011	STAGE_TIP_RAIDBOSS	
145014	9	14507	1	4	null	UI_RaidBoss_BG_01	null	22	0	-1	0	0	150	15	0	200010	stage09_0101_e1	stage09_0101_e1	BGM01,bgm_st_factory	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145004	null	null	null	3.07.0000	null	STAGE_NAME_145011	STAGE_TIP_RAIDBOSS	
145015	9	14507	1	5	null	UI_RaidBoss_BG_01	null	22	0	-1	0	0	150	15	0	200010	stage09_0101_e1	stage09_0101_e1	BGM01,bgm_st_factory	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145005	null	null	null	3.07.0000	null	STAGE_NAME_145011	STAGE_TIP_RAIDBOSS	
145021	9	14502	1	1	null	UI_RaidBoss_BG_02	null	22	0	-1	0	0	150	15	0	200004	stage09_0201_e1	stage09_0201_e1	BGM01,bgm_st_cyberspace	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145011	null	null	null	4.03.0000	null	STAGE_NAME_145021	STAGE_TIP_RAIDBOSS	
145022	9	14502	1	2	null	UI_RaidBoss_BG_02	null	22	0	-1	0	0	150	15	0	200004	stage09_0201_e1	stage09_0201_e1	BGM01,bgm_st_cyberspace	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145012	null	null	null	4.03.0000	null	STAGE_NAME_145021	STAGE_TIP_RAIDBOSS	
145023	9	14502	1	3	null	UI_RaidBoss_BG_02	null	22	0	-1	0	0	150	15	0	200004	stage09_0201_e1	stage09_0201_e1	BGM01,bgm_st_cyberspace	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145013	null	null	null	4.03.0000	null	STAGE_NAME_145021	STAGE_TIP_RAIDBOSS	
145024	9	14502	1	4	null	UI_RaidBoss_BG_02	null	22	0	-1	0	0	150	15	0	200004	stage09_0201_e1	stage09_0201_e1	BGM01,bgm_st_cyberspace	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145014	null	null	null	4.03.0000	null	STAGE_NAME_145021	STAGE_TIP_RAIDBOSS	
145025	9	14502	1	5	null	UI_RaidBoss_BG_02	null	22	0	-1	0	0	150	15	0	200004	stage09_0201_e1	stage09_0201_e1	BGM01,bgm_st_cyberspace	null	null	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145015	null	null	null	4.03.0000	null	STAGE_NAME_145021	STAGE_TIP_RAIDBOSS	
145031	9	14503	1	1	null	UI_RaidBoss_BG_03	null	22	0	-1	0	0	150	15	0	200004	stage09_0301_e1	stage09_0301_e1	BGM01,bgm_st_airforce	BGM01,bgm_st_boss03	BGM01,bgm_st_boss03	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145021	null	null	null	4.10.0000	null	STAGE_NAME_145031	STAGE_TIP_RAIDBOSS	
145032	9	14503	1	2	null	UI_RaidBoss_BG_03	null	22	0	-1	0	0	150	15	0	200004	stage09_0301_e1	stage09_0301_e1	BGM01,bgm_st_airforce	BGM01,bgm_st_boss03	BGM01,bgm_st_boss03	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145022	null	null	null	4.10.0000	null	STAGE_NAME_145031	STAGE_TIP_RAIDBOSS	
145033	9	14503	1	3	null	UI_RaidBoss_BG_03	null	22	0	-1	0	0	150	15	0	200004	stage09_0301_e1	stage09_0301_e1	BGM01,bgm_st_airforce	BGM01,bgm_st_boss03	BGM01,bgm_st_boss03	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145023	null	null	null	4.10.0000	null	STAGE_NAME_145031	STAGE_TIP_RAIDBOSS	
145034	9	14503	1	4	null	UI_RaidBoss_BG_03	null	22	0	-1	0	0	150	15	0	200004	stage09_0301_e1	stage09_0301_e1	BGM01,bgm_st_airforce	BGM01,bgm_st_boss03	BGM01,bgm_st_boss03	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145024	null	null	null	4.10.0000	null	STAGE_NAME_145031	STAGE_TIP_RAIDBOSS	
145035	9	14503	1	5	null	UI_RaidBoss_BG_03	null	22	0	-1	0	0	150	15	0	200004	stage09_0301_e1	stage09_0301_e1	BGM01,bgm_st_airforce	BGM01,bgm_st_boss03	BGM01,bgm_st_boss03	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145025	null	null	null	4.10.0000	null	STAGE_NAME_145031	STAGE_TIP_RAIDBOSS	
145041	9	14504	1	1	null	UI_RaidBoss_BG_04	null	22	0	-1	0	0	150	15	0	200004	stage09_0401_e1	stage09_0401_e1	BGM01,bgm_st_factory	BGMe1,bgm_st_e1b	BGMe1,bgm_st_e1b	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145031	null	null	null	5.03.0000	null	STAGE_NAME_145041	STAGE_TIP_RAIDBOSS	
145042	9	14504	1	2	null	UI_RaidBoss_BG_04	null	22	0	-1	0	0	150	15	0	200004	stage09_0401_e1	stage09_0401_e1	BGM01,bgm_st_factory	BGMe1,bgm_st_e1b	BGMe1,bgm_st_e1b	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145032	null	null	null	5.03.0000	null	STAGE_NAME_145041	STAGE_TIP_RAIDBOSS	
145043	9	14504	1	3	null	UI_RaidBoss_BG_04	null	22	0	-1	0	0	150	15	0	200004	stage09_0401_e1	stage09_0401_e1	BGM01,bgm_st_factory	BGMe1,bgm_st_e1b	BGMe1,bgm_st_e1b	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145033	null	null	null	5.03.0000	null	STAGE_NAME_145041	STAGE_TIP_RAIDBOSS	
145044	9	14504	1	4	null	UI_RaidBoss_BG_04	null	22	0	-1	0	0	150	15	0	200004	stage09_0401_e1	stage09_0401_e1	BGM01,bgm_st_factory	BGMe1,bgm_st_e1b	BGMe1,bgm_st_e1b	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145034	null	null	null	5.03.0000	null	STAGE_NAME_145041	STAGE_TIP_RAIDBOSS	
145045	9	14504	1	5	null	UI_RaidBoss_BG_04	null	22	0	-1	0	0	150	15	0	200004	stage09_0401_e1	stage09_0401_e1	BGM01,bgm_st_factory	BGMe1,bgm_st_e1b	BGMe1,bgm_st_e1b	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145035	null	null	null	5.03.0000	null	STAGE_NAME_145041	STAGE_TIP_RAIDBOSS	
145051	9	14505	1	1	null	UI_RaidBoss_BG_05	null	22	0	-1	0	0	150	15	0	200004	stage09_0501_e1	stage09_0501_e1	BGM01,bgm_st_factory	BGMe1,bgm_st_e1b	BGMe1,bgm_st_e1b	0	13	80000	13	60000	13	40000	0	0	94001	0	0	94001	0	145051	null	null	null	6.05.0000	null	STAGE_NAME_145051	STAGE_TIP_RAIDBOSS	
