鍵值	繁體中文	简体中文	日文	英文	泰文	葡语	西语	德语	俄语	法语	韓文
STAGE_NAME_161503	第150層(挑戰)	第150层(挑战)	150階(チャレンジ)	Level 150 (Challenge)	ชั้นที่ 150 (ท้าดวล)	Nível 150 (Desafio)	Nivel 150 (Desafío)	Stufe 150 (Herausforderung)	Уровень 150 (Испытание)	Niveau 150 (Défi)	150층(도전)
STAGE_NAME_161513	第151層(挑戰)	第151层(挑战)	151階(チャレンジ)	Level 151 (Challenge)	ชั้นที่ 151 (ท้าดวล)	Nível 151 (Desafio)	Nivel 151 (Desafío)	Stufe 151 (Herausforderung)	Уровень 151 (Испытание)	Niveau 151 (Défi)	151층(도전)
STAGE_NAME_161523	第152層(挑戰)	第152层(挑战)	152階(チャレンジ)	Level 152 (Challenge)	ชั้นที่ 152 (ท้าดวล)	Nível 152 (Desafio)	Nivel 152 (Desafío)	Stufe 152 (Herausforderung)	Уровень 152 (Испытание)	Niveau 152 (Défi)	152층(도전)
STAGE_NAME_161533	第153層(挑戰)	第153层(挑战)	153階(チャレンジ)	Level 153 (Challenge)	ชั้นที่ 153 (ท้าดวล)	Nível 153 (Desafio)	Nivel 153 (Desafío)	Stufe 153 (Herausforderung)	Уровень 153 (Испытание)	Niveau 153 (Défi)	153층(도전)
STAGE_NAME_161543	第154層(挑戰)	第154层(挑战)	154階(チャレンジ)	Level 154 (Challenge)	ชั้นที่ 154 (ท้าดวล)	Nível 154 (Desafio)	Nivel 154 (Desafío)	Stufe 154 (Herausforderung)	Уровень 154 (Испытание)	Niveau 154 (Défi)	154층(도전)
STAGE_NAME_161553	第155層(挑戰)	第155层(挑战)	155階(チャレンジ)	Level 155 (Challenge)	ชั้นที่ 155 (ท้าดวล)	Nível 155 (Desafio)	Nivel 155 (Desafío)	Stufe 155 (Herausforderung)	Уровень 155 (Испытание)	Niveau 155 (Défi)	155층(도전)
STAGE_NAME_161563	第156層(挑戰)	第156层(挑战)	156階(チャレンジ)	Level 156 (Challenge)	ชั้นที่ 156 (ท้าดวล)	Nível 156 (Desafio)	Nivel 156 (Desafío)	Stufe 156 (Herausforderung)	Уровень 156 (Испытание)	Niveau 156 (Défi)	156층(도전)
STAGE_NAME_161573	第157層(挑戰)	第157层(挑战)	157階(チャレンジ)	Level 157 (Challenge)	ชั้นที่ 157 (ท้าดวล)	Nível 157 (Desafio)	Nivel 157 (Desafío)	Stufe 157 (Herausforderung)	Уровень 157 (Испытание)	Niveau 157 (Défi)	157층(도전)
STAGE_NAME_161583	第158層(挑戰)	第158层(挑战)	158階(チャレンジ)	Level 158 (Challenge)	ชั้นที่ 158 (ท้าดวล)	Nível 158 (Desafio)	Nivel 158 (Desafío)	Stufe 158 (Herausforderung)	Уровень 158 (Испытание)	Niveau 158 (Défi)	158층(도전)
STAGE_NAME_161593	第159層(挑戰)	第159层(挑战)	159階(チャレンジ)	Level 159 (Challenge)	ชั้นที่ 159 (ท้าดวล)	Nível 159 (Desafio)	Nivel 159 (Desafío)	Stufe 159 (Herausforderung)	Уровень 159 (Испытание)	Niveau 159 (Défi)	159층(도전)
STAGE_NAME_161603	第160層(挑戰)	第160层(挑战)	160階(チャレンジ)	Level 160 (Challenge)	ชั้นที่ 160 (ท้าดวล)	Nível 160 (Desafio)	Nivel 160 (Desafío)	Stufe 160 (Herausforderung)	Уровень 160 (Испытание)	Niveau 160 (Défi)	160층(도전)
STAGE_NAME_161613	第161層(挑戰)	第161层(挑战)	161階(チャレンジ)	Level 161 (Challenge)	ชั้นที่ 161 (ท้าดวล)	Nível 161 (Desafio)	Nivel 161 (Desafío)	Stufe 161 (Herausforderung)	Уровень 161 (Испытание)	Niveau 161 (Défi)	161층(도전)
STAGE_NAME_161623	第162層(挑戰)	第162层(挑战)	162階(チャレンジ)	Level 162 (Challenge)	ชั้นที่ 162 (ท้าดวล)	Nível 162 (Desafio)	Nivel 162 (Reto)	Stufe 162 (Herausforderung)	Уровень 162 (Испытание)	Niveau 162 (Défi)	162층(도전)
STAGE_NAME_161633	第163層(挑戰)	第163层(挑战)	163階(チャレンジ)	Level 163 (Challenge)	ชั้นที่ 163 (ท้าดวล)	Nível 163 (Desafio)	Nivel 163 (Reto)	Stufe 163 (Herausforderung)	Уровень 163 (Испытание)	Niveau 163 (Défi)	163층(도전)
STAGE_NAME_161643	第164層(挑戰)	第164层(挑战)	164階(チャレンジ)	Level 164 (Challenge)	ชั้นที่ 164 (ท้าดวล)	Nível 164 (Desafio)	Nivel 164 (Reto)	Stufe 164 (Herausforderung)	Уровень 164 (Испытание)	Niveau 164 (Défi)	164층(도전)
STAGE_NAME_161653	第165層(挑戰)	第165层(挑战)	165階(チャレンジ)	Level 165 (Challenge)	ชั้นที่ 165 (ท้าดวล)	Nível 165 (Desafio)	Nivel 165 (Desafío)	Stufe 165 (Herausforderung)	Уровень 165 (Испытание)	Niveau 165 (Défi)	165층(도전)
STAGE_NAME_161663	第166層(挑戰)	第166层(挑战)	166階(チャレンジ)	Level 166 (Challenge)	ชั้นที่ 166 (ท้าดวล)	Nível 166 (Desafio)	Nivel 166 (Desafío)	Stufe 166 (Herausforderung)	Уровень 166 (Испытание)	Niveau 166 (Défi)	第166層(挑戰)
STAGE_NAME_161673	第167層(挑戰)	第167层(挑战)	167階(チャレンジ)	Level 167 (Challenge)	ชั้นที่ 167 (ท้าดวล)	Nível 167 (Desafio)	Nivel 167 (Desafío)	Stufe 167 (Herausforderung)	Уровень 167 (Испытание)	Niveau 167 (Défi)	第167層(挑戰)
STAGE_NAME_161683	第168層(挑戰)	第168层(挑战)	168階(チャレンジ)	Level 168 (Challenge)	ชั้นที่ 168 (ท้าดวล)	Nível 168 (Desafio)	Nivel 168 (Desafío)	Stufe 168 (Herausforderung)	Уровень 168 (Испытание)	Niveau 168 (Défi)	第168層(挑戰)
STAGE_NAME_161693	第169層(挑戰)	第169层(挑战)	169階(チャレンジ)	Level 169 (Challenge)	ชั้นที่ 169 (ท้าดวล)	Nível 169 (Desafio)	Nivel 169 (Desafío)	Stufe 169 (Herausforderung)	Уровень 169 (Испытание)	Niveau 169 (Défi)	第169層(挑戰)
STAGE_NAME_161703	第170層(挑戰)	第170层(挑战)	170階(チャレンジ)	Level 170 (Challenge)	ชั้นที่ 170 (ท้าดวล)	Nível 170 (Desafio)	Nivel 170 (Desafío)	Stufe 170 (Herausforderung)	Уровень 170 (Испытание)	Niveau 170 (Défi)	第170層(挑戰)
STAGE_NAME_161713	第171層(挑戰)	第171层(挑战)	171階(チャレンジ)	Level 171 (Challenge)	ชั้นที่ 171 (ท้าดวล)						
STAGE_NAME_161723	第172層(挑戰)	第172层(挑战)	172階(チャレンジ)	Level 172 (Challenge)	ชั้นที่ 172 (ท้าดวล)						
STAGE_NAME_161733	第173層(挑戰)	第173层(挑战)	173階(チャレンジ)	Level 173 (Challenge)	ชั้นที่ 173 (ท้าดวล)						
STAGE_NAME_161743	第174層(挑戰)	第174层(挑战)	174階(チャレンジ)	Level 174 (Challenge)	ชั้นที่ 174 (ท้าดวล)						
STAGE_NAME_161753	第175層(挑戰)	第175层(挑战)	175階(チャレンジ)	Level 175 (Challenge)	ชั้นที่ 175 (ท้าดวล)						
STAGE_NAME_200011	浮遊遺跡1-1	浮游遗迹1-1	浮遊遺跡1-1	Floating Ruins 1-1	ซากโบราณลอยน้ำ 1-1	Ruínas Flutuantes 1-1	Ruinas Flotantes 1-1	Schwebende Ruinen 1-1	Парящие Руины 1-1	Ruines flottantes 1-1	부유 유적 1-1
STAGE_NAME_200012	浮遊遺跡1-2	浮游遗迹1-2	浮遊遺跡1-2	Floating Ruins 1-2	ซากโบราณลอยน้ำ 1-2	Ruínas Flutuantes 1-2	Ruinas Flotantes 1-2	Schwebende Ruinen 1-2	Парящие Руины 1-2	Ruines flottantes 1-2	부유 유적 1-2
STAGE_NAME_200021	電子空間2-1	电子空间2-1	サイバースペース2-1	Cyberspace 2-1	โลกไซเบอร์ 2-1	Ciberespaço 2-1	Ciberespacio 2-1	Cyberspace 2-1	Киберпространство 2-1	Cyberespace 2-1	전뇌 세계 2-1
STAGE_NAME_200022	電子空間2-2	电子空间2-2	サイバースペース2-2	Cyberspace 2-2	โลกไซเบอร์ 2-2	Ciberespaço 2-2	Ciberespacio 2-2	Cyberspace 2-2	Киберпространство 2-2	Cyberespace 2-2	전뇌 세계 2-2
STAGE_NAME_200031	深綠之森3-1	深绿之森3-1	エリアフォレスト3-1	Area Forest 3-1	ผืนป่าเขียวขจี 3-1	Área Florestal 3-1	Zona del Bosque 3-1	Gebietswald 3-1	Лесная Зона 3-1	Forêt 3-1	울창한 삼림 3-1
STAGE_NAME_200032	深綠之森3-2	深绿之森3-2	エリアフォレスト3-2	Area Forest 3-2	ผืนป่าเขียวขจี 3-2	Área Florestal 3-2	Zona del Bosque 3-2	Gebietswald 3-2	Лесная Зона 3-2	Forêt 3-2	울창한 삼림 3-2
STAGE_NAME_200041	軍事列車4-1	军事列车4-1	ミリタリートレイン4-1	Military Train 4-1	รถไฟทหาร 4-1	Trem Militar 4-1	Tren Militar 4-1	Militärzug 4-1	Военный Локомотив 4-1	Train militaire 4-1	군수품 열차 4-1
STAGE_NAME_200042	軍事列車4-2	军事列车4-2	ミリタリートレイン4-2	Military Train 4-2	รถไฟทหาร 4-2	Trem Militar 4-2	Tren Militar 4-2	Militärzug 4-2	Военный Локомотив 4-2	Train militaire 4-2	군수품 열차 4-2
STAGE_NAME_200051	礦山5-1	矿山5-1	鉱山5-1	Gallery 5-1	เหมือง 5-1	Galeria 5-1	Galería 5-1	Galerie 5-1	Галерея 5-1	Galerie 5-1	광산 5-1
STAGE_NAME_200052	礦山5-2	矿山5-2	鉱山5-2	Gallery 5-2	เหมือง 5-2	Galeria 5-2	Galería 5-2	Galerie 5-2	Галерея 5-2	Galerie 5-2	광산 5-2
STAGE_NAME_200061	沙漠工廠6-1	沙漠工厂6-1	油田6-1	Oil Field 6-1	โรงงานทะเลทราย 6-1	Campo de Petróleo 6-1	Campo Petrolero 6-1	Ölfeld 6-1	Нефтебаза 6-1	Champ pétrolier 6-1	사막 공장 6-1
STAGE_NAME_200062	沙漠工廠6-2	沙漠工厂6-2	油田6-2	Oil Field 6-2	โรงงานทะเลทราย 6-2	Campo de Petróleo 6-2	Campo Petrolero 6-2	Ölfeld 6-2	Нефтебаза 6-2	Champ pétrolier 6-2	사막 공장 6-2
STAGE_NAME_200071	工廠7-1	工厂7-1	工場7-1	Factory 7-1	โรงงาน 7-1	Fábrica 7-1	Fábrica 7-1	Fabrik 7-1	Фабрика 7-1	Usine 7-1	공장 7-1
STAGE_NAME_200072	工廠7-2	工厂7-2	工場7-2	Factory 7-2	โรงงาน 7-2	Fábrica 7-2	Fábrica 7-2	Fabrik 7-2	Фабрика 7-2	Usine 7-2	공장 7-2
STAGE_NAME_200081	生化實驗室8-1	生化实验室8-1	バイオラボラトリー8-1	Bio Laboratory 8-1	ไบโอแลป 8-1	Biolaboratório 8-1	Laboratorio Biológico 8-1	Bio-Labor 8-1	Био-Лаборатория 8-1	Labo biologique 8-1	생화학 실험실 8-1
STAGE_NAME_200082	生化實驗室8-2	生化实验室8-2	バイオラボラトリー8-2	Bio Laboratory 8-2	ไบโอแลป 8-2	Biolaboratório 8-2	Laboratorio Biológico 8-2	Bio-Labor 8-2	Био-Лаборатория 8-2	Labo biologique 8-2	생화학 실험실 8-2
STAGE_NAME_200091	機場9-1	机场9-1	空港 9-1	Sky 9-1	สนามบิน 9-1	Céu 9-1	Cielo 9-1	Himmel 9-1	Небо 9-1	Ciel 9-1	공항 9-1
STAGE_NAME_200092	機場9-2	机场9-2	空港 9-2	Sky 9-2	สนามบิน 9-2	Céu 9-2	Cielo 9-2	Himmel 9-2	Небо 9-2	Ciel 9-2	공항 9-2
STAGE_NAME_200101	空軍基地10-1	空军基地10-1	エアフォース10-1	Air Force 10-1	ฐานทัพอากาศ 10-1	Força Aérea 10-1	Fuerza Aérea 10-1	Luftwaffe 10-1	Воздушные Силы 10-1	Force aérienne 10-1	공군 기지 10-1
STAGE_NAME_200102	空軍基地10-2	空军基地10-2	エアフォース10-2	Air Force 10-2	ฐานทัพอากาศ 10-2	Força Aérea 10-2	Fuerza Aérea 10-2	Luftwaffe 10-2	Воздушные Силы 10-2	Force aérienne 10-2	공군 기지 10-2
STAGE_NAME_200111	火山11-1	火山11-1	ヴォルカノ11-1	Volcano 11-1	ภูเขาไฟ 11-1	Vulcão 11-1	Volcán 11-1	Vulkan 11-1	Вулкан 11-1	Volcan 11-1	화산 11-1
STAGE_NAME_200112	火山11-2	火山11-2	ヴォルカノ11-2	Volcano 11-2	ภูเขาไฟ 11-2	Vulcão 11-2	Volcán 11-2	Vulkan 11-2	Вулкан 11-2	Volcan 11-2	화산 11-2
STAGE_NAME_200121	仲裁空軍12-1	仲裁空军12-1	レプリエアフォース12-1	Reploid Air Force 12-1	เรพลอยด์ แอร์ ฟอร์ส12-1	Força Aérea Reploid 12-1	Fuerza Aérea Reploide 12-1	Reploid-Luftwaffe 12-1	Реплоид - Воздушные Силы 12-1	Force aérienne réploïde 12-1	레플리포스 공군 12-1
STAGE_NAME_200122	仲裁空軍12-2	仲裁空军12-2	レプリエアフォース12-2	Reploid Air Force 12-2	เรพลอยด์ แอร์ ฟอร์ส12-2	Força Aérea Reploid 12-2	Fuerza Aérea Reploide 12-2	Reploid-Luftwaffe 12-2	Реплоид - Воздушные Силы 12-2	Force aérienne réploïde 12-2	레플리포스 공군 12-2
STAGE_NAME_200131	電力管理工廠13-1	电力管理工厂13-1	電力管理センター13-1	Power Control Center 13-1	โรงงานไฟฟ้า 13-1	Centro de Controle de Energia 13-1	Centro de Control de Energía 13-1	Machtkontroll-Zentrum 13-1	Электростанция 13-1	Centre de contrôle 13-1	전력 제어 공장 13-1
STAGE_NAME_200132	電力管理工廠13-2	电力管理工厂13-2	電力管理センター13-2	Power Control Center 13-2	โรงงานไฟฟ้า 13-2	Centro de Controle de Energia 13-2	Centro de Control de Energía 13-2	Machtkontroll-Zentrum 13-2	Электростанция 13-2	Centre de contrôle 13-2	전력 제어 공장 13-2
STAGE_NAME_200141	水晶礦脈14-1	水晶矿脉14-1	水晶鉱脈14-1	Energen Crystal 14-1	เหมืองคริสตัล 14-1	Cristal Energen 14-1	Energen Crystal 14-1	Energen-Kristall 14-1	Энергокристалл 14-1	Cristal énergen 14-1	크리스탈 광맥 14-1
STAGE_NAME_200142	水晶礦脈14-2	水晶矿脉14-2	水晶鉱脈14-2	Energen Crystal 14-2	เหมืองคริสตัล 14-2	Cristal Energen 14-2	Energen Crystal 14-2	Energen-Kristall 14-2	Энергокристалл 14-2	Cristal énergen 14-2	크리스탈 광맥 14-2
STAGE_NAME_200151	雪原基地15-1	雪原基地15-1	スノーベース15-1	Snow Base 15-1	ฐานทัพหิมะ 15-1	Base de neve 15-1	Base de nieve 15-1	Schneebasis 15-1	Снежная База 15-1	Socle à neige 15-1	설원 기지 15-1
STAGE_NAME_200152	雪原基地15-2	雪原基地15-2	スノーベース15-2	Snow Base 15-2	ฐานทัพหิมะ 15-2	Base de neve 15-2	Base de nieve 15-2	Schneebasis 15-2	Снежная База 15-2	Socle à neige 15-2	설원 기지 15-2
STAGE_NAME_200161	超電磁研究所16-1	超电磁研究所16-1	超電磁研究所16-1	Super-Electromagnetic Lab 16-1	ห้องแลปสุดยอดแม่เหล็กไฟฟ้า 16-1	Laboratório Super Eletromagnético 16-1	Laboratorio superelectromagnético 16-1	Superelektromagnetisches Labor 16-1	Супер Электролаборатория 16-1	Laboratoire super-électromagnétique 16-1	초전자 연구소16-1
STAGE_NAME_200162	超電磁研究所16-2	超电磁研究所16-2	超電磁研究所16-2	Super-Electromagnetic Lab 16-2	ห้องแลปสุดยอดแม่เหล็กไฟฟ้า 16-2	Laboratório Super Eletromagnético 16-2	Laboratorio superelectromagnético 16-2	Superelektromagnetisches Labor 16-2	Супер Электролаборатория 16-2	Laboratoire super-électromagnétique 16-2	초전자 연구소16-2
STAGE_NAME_200171	發電所17-1	发电所17-1	発電所17-1	Power Plant 17-1	โรงไฟฟ้า 17-1	Power Plant 17-1	Planta de energía 17-1	Kraftwerk 17-1	Электростанция 17-1	Centrale électrique 17-1	發電所17-1
STAGE_NAME_200172	發電所17-2	发电所17-2	発電所17-2	Power Plant 17-2	โรงไฟฟ้า 17-2	Power Plant 17-2	Planta de energía 17-2	Kraftwerk 17-2	Электростанция 17-2	Centrale électrique 17-2	發電所17-2
STAGE_NAME_240011	高速公路	高速公路	ハイウェイ	Highway	ไฮเวย์	Rodovia	Carretera	Autobahn	Трасса	Autoroute	고속도로
STAGE_NAME_240021	礦山	矿山	鉱山	Gallery	เหมือง	Galeria	Galería	Galerie	Галерея	Galerie	광산
STAGE_NAME_240031	空軍基地	空军基地	エアフォース	Air Force	ฐานทัพอากาศ	Força Aérea	Fuerza Aérea	Luftwaffe	Воздушные Силы	Force aérienne	공군 기지
STAGE_NAME_240012	高速公路	高速公路	ハイウェイ	Highway	ไฮเวย์	Rodovia	Carretera	Autobahn	Трасса	Autoroute	고속도로
STAGE_NAME_240022	礦山	矿山	鉱山	Gallery	เหมือง	Galeria	Galería	Galerie	Галерея	Galerie	광산
STAGE_NAME_240032	空軍基地	空军基地	エアフォース	Air Force	ฐานทัพอากาศ	Força Aérea	Fuerza Aérea	Luftwaffe	Воздушные Силы	Force aérienne	공군 기지
STAGE_NAME_240111	礦山	矿山	鉱山	Gallery	เหมือง	Galeria	Galería	Galerie	Галерея	Galerie	광산
STAGE_NAME_240121	工廠	工厂	工場	Factory	โรงงาน	Fábrica	Fábrica	Fabrik	Фабрика	Usine	공장
STAGE_NAME_240131	機場	机场	空港	Sky	สนามบิน	Céu	Cielo	Himmel	Небо	Ciel	공항
STAGE_NAME_240112	礦山	矿山	鉱山	Gallery	เหมือง	Galeria	Galería	Galerie	Галерея	Galerie	광산
STAGE_NAME_240122	工廠	工厂	工場	Factory	โรงงาน	Fábrica	Fábrica	Fabrik	Фабрика	Usine	공장
STAGE_NAME_240132	機場	机场	空港	Sky	สนามบิน	Céu	Cielo	Himmel	Небо	Ciel	공항
STAGE_NAME_240211	工廠	工厂	工場	Factory	โรงงาน	Fábrica	Fábrica	Fabrik	Фабрика	Usine	공장
STAGE_NAME_240221	空軍基地	空军基地	エアフォース	Air Force	ฐานทัพอากาศ	Força Aérea	Fuerza Aérea	Luftwaffe	Воздушные Силы	Force aérienne	공군 기지
STAGE_NAME_240231	浮遊遺跡	浮游遗迹	浮遊遺跡	Floating Ruins	ซากโบราณลอยน้ำ	Ruínas Flutuantes	Ruinas Flotantes	Schwimmende Ruinen	Парящие Руины	Ruines flottantes	부유 유적
STAGE_NAME_240212	工廠	工厂	工場	Factory	โรงงาน	Fábrica	Fábrica	Fabrik	Фабрика	Usine	공장
STAGE_NAME_240222	空軍基地	空军基地	エアフォース	Air Force	ฐานทัพอากาศ	Força Aérea	Fuerza Aérea	Luftwaffe	Воздушные Силы	Force aérienne	공군 기지
STAGE_NAME_240232	浮遊遺跡	浮游遗迹	浮遊遺跡	Floating Ruins	ซากโบราณลอยน้ำ	Ruínas Flutuantes	Ruinas Flotantes	Schwimmende Ruinen	Парящие Руины	Ruines flottantes	부유 유적
STAGE_NAME_240311	空軍基地	空军基地	エアフォース	Air Force	ฐานทัพอากาศ	Força Aérea	Fuerza Aérea	Luftwaffe	Воздушные Силы	Force aérienne	공군 기지
STAGE_NAME_240321	機場	机场	空港	Sky	สนามบิน	Céu	Cielo	Himmel	Небо	Ciel	공항
STAGE_NAME_240331	深綠之森	深绿之森	エリアフォレスト	Area Forest	ผืนป่าเขียวขจี	Área Florestal	Zona del Bosque	Gebietswald	Лесная Зона	Forêt	울창한 삼림
STAGE_NAME_240312	空軍基地	空军基地	エアフォース	Air Force	ฐานทัพอากาศ	Força Aérea	Fuerza Aérea	Luftwaffe	Воздушные Силы	Force aérienne	공군 기지
STAGE_NAME_240322	機場	机场	空港	Sky	สนามบิน	Céu	Cielo	Himmel	Небо	Ciel	공항
STAGE_NAME_240332	深綠之森	深绿之森	エリアフォレスト	Area Forest	ผืนป่าเขียวขจี	Área Florestal	Zona del Bosque	Gebietswald	Лесная Зона	Forêt	울창한 삼림
STAGE_NAME_240411	浮遊遺跡	浮游遗迹	浮遊遺跡	Floating Ruins	ซากโบราณลอยน้ำ	Ruínas Flutuantes	Ruinas Flotantes	Schwimmende Ruinen	Парящие Руины	Ruines flottantes	부유 유적
STAGE_NAME_240421	深綠之森	深绿之森	エリアフォレスト	Area Forest	ผืนป่าเขียวขจี	Área Florestal	Zona del Bosque	Gebietswald	Лесная Зона	Forêt	울창한 삼림
STAGE_NAME_240431	軍事列車	军事列车	ミリタリートレイン	Military Train	รถไฟทหาร	Trem Militar	Tren Militar	Militärzug	Военный Локомотив	Train militaire	군수품 열차
STAGE_NAME_240412	浮遊遺跡	浮游遗迹	浮遊遺跡	Floating Ruins	ซากโบราณลอยน้ำ	Ruínas Flutuantes	Ruinas Flotantes	Schwimmende Ruinen	Парящие Руины	Ruines flottantes	부유 유적
STAGE_NAME_240422	深綠之森	深绿之森	エリアフォレスト	Area Forest	ผืนป่าเขียวขจี	Área Florestal	Zona del Bosque	Gebietswald	Лесная Зона	Forêt	울창한 삼림
STAGE_NAME_240432	軍事列車	军事列车	ミリタリートレイン	Military Train	รถไฟทหาร	Trem Militar	Tren Militar	Militärzug	Военный Локомотив	Train militaire	군수품 열차
STAGE_NAME_240511	浮遊遺跡	浮游遗迹	浮遊遺跡	Floating Ruins	ซากโบราณลอยน้ำ	Ruínas Flutuantes	Ruinas Flotantes	Schwimmende Ruinen	Парящие Руины	Ruines flottantes	부유 유적
STAGE_NAME_240521	深綠之森	深绿之森	エリアフォレスト	Area Forest	ผืนป่าเขียวขจี	Área Florestal	Zona del Bosque	Gebietswald	Лесная Зона	Forêt	울창한 삼림
STAGE_NAME_240531	軍事列車	军事列车	ミリタリートレイン	Military Train	รถไฟทหาร	Trem Militar	Tren Militar	Militärzug	Военный Локомотив	Train militaire	군수품 열차
STAGE_NAME_240512	浮遊遺跡	浮游遗迹	浮遊遺跡	Floating Ruins	ซากโบราณลอยน้ำ	Ruínas Flutuantes	Ruinas Flotantes	Schwimmende Ruinen	Парящие Руины	Ruines flottantes	부유 유적
STAGE_NAME_240522	深綠之森	深绿之森	エリアフォレスト	Area Forest	ผืนป่าเขียวขจี	Área Florestal	Zona del Bosque	Gebietswald	Лесная Зона	Forêt	울창한 삼림
STAGE_NAME_240532	軍事列車	军事列车	ミリタリートレイン	Military Train	รถไฟทหาร	Trem Militar	Tren Militar	Militärzug	Военный Локомотив	Train militaire	군수품 열차
STAGE_NAME_240611	深綠之森	深绿之森	エリアフォレスト	Area Forest	ผืนป่าเขียวขจี	Área Florestal	Zona del Bosque	Gebietswald	Лесная Зона	Forêt	울창한 삼림
STAGE_NAME_240621	軍事列車	军事列车	ミリタリートレイン	Military Train	รถไฟทหาร	Trem Militar	Tren Militar	Militärzug	Военный Локомотив	Train militaire	군수품 열차
STAGE_NAME_240631	電子空間	电子空间	サイバースペース	Cyberspace	โลกไซเบอร์	Ciberespaço	Ciberespacio	Cyberspace	Киберпространство	Cyberespace	전뇌 세계
STAGE_NAME_240612	深綠之森	深绿之森	エリアフォレスト	Area Forest	ผืนป่าเขียวขจี	Área Florestal	Zona del Bosque	Gebietswald	Лесная Зона	Forêt	울창한 삼림
STAGE_NAME_240622	軍事列車	军事列车	ミリタリートレイン	Military Train	รถไฟทหาร	Trem Militar	Tren Militar	Militärzug	Военный Локомотив	Train militaire	군수품 열차
STAGE_NAME_240632	電子空間	电子空间	サイバースペース	Cyberspace	โลกไซเบอร์	Ciberespaço	Ciberespacio	Cyberspace	Киберпространство	Cyberespace	전뇌 세계
STAGE_NAME_240711	軍事列車	军事列车	ミリタリートレイン	Military Train	รถไฟทหาร	Trem Militar	Tren Militar	Militärzug	Военный Локомотив	Train militaire	군수품 열차
STAGE_NAME_240721	電子空間	电子空间	サイバースペース	Cyberspace	โลกไซเบอร์	Ciberespaço	Ciberespacio	Cyberspace	Киберпространство	Cyberespace	전뇌 세계
STAGE_NAME_240731	火山	火山	ヴォルカノ	Volcano	ภูเขาไฟ	Vulcão	Volcán	Vulkan	Вулкан	Volcan	화산
STAGE_NAME_240712	軍事列車	军事列车	ミリタリートレイン	Military Train	รถไฟทหาร	Trem Militar	Tren Militar	Militärzug	Военный Локомотив	Train militaire	군수품 열차
STAGE_NAME_240722	電子空間	电子空间	サイバースペース	Cyberspace	โลกไซเบอร์	Ciberespaço	Ciberespacio	Cyberspace	Киберпространство	Cyberespace	전뇌 세계
STAGE_NAME_240732	火山	火山	ヴォルカノ	Volcano	ภูเขาไฟ	Vulcão	Volcán	Vulkan	Вулкан	Volcan	화산
STAGE_NAME_240811	電子空間	电子空间	サイバースペース	Cyberspace	โลกไซเบอร์	Ciberespaço	Ciberespacio	Cyberspace	Киберпространство	Cyberespace	전뇌 세계
STAGE_NAME_240821	火山	火山	ヴォルカノ	Volcano	ภูเขาไฟ	Vulcão	Volcán	Vulkan	Вулкан	Volcan	화산
STAGE_NAME_240831	沙漠工廠	沙漠工厂	油田	Oil Field	โรงงานทะเลทราย	Campo de Petróleo	Campo Petrolero	Ölfeld	Нефтебаза	Champ pétrolier	사막 공장
STAGE_NAME_240812	電子空間	电子空间	サイバースペース	Cyberspace	โลกไซเบอร์	Ciberespaço	Ciberespacio	Cyberspace	Киберпространство	Cyberespace	전뇌 세계
STAGE_NAME_240822	火山	火山	ヴォルカノ	Volcano	ภูเขาไฟ	Vulcão	Volcán	Vulkan	Вулкан	Volcan	화산
STAGE_NAME_240832	沙漠工廠	沙漠工厂	油田	Oil Field	โรงงานทะเลทราย	Campo de Petróleo	Campo Petrolero	Ölfeld	Нефтебаза	Champ pétrolier	사막 공장
STAGE_NAME_240911	火山	火山	ヴォルカノ	Volcano	ภูเขาไฟ	Vulcão	Volcán	Vulkan	Вулкан	Volcan	화산
STAGE_NAME_240921	沙漠工廠	沙漠工厂	油田	Oil Field	โรงงานทะเลทราย	Campo de Petróleo	Campo Petrolero	Ölfeld	Нефтебаза	Champ pétrolier	사막 공장
STAGE_NAME_240931	電力管理工廠	电力管理工厂	電力管理センター	Power Control Center	โรงงานไฟฟ้า	Centro de Controle de Energia	Centro de Control de Energía	Machtkontroll-Zentrum	Электростанция	Centre de contrôle	전력 제어 공장
STAGE_NAME_240912	火山	火山	ヴォルカノ	Volcano	ภูเขาไฟ	Vulcão	Volcán	Vulkan	Вулкан	Volcan	화산
STAGE_NAME_240922	沙漠工廠	沙漠工厂	油田	Oil Field	โรงงานทะเลทราย	Campo de Petróleo	Campo Petrolero	Ölfeld	Нефтебаза	Champ pétrolier	사막 공장
STAGE_NAME_240932	電力管理工廠	电力管理工厂	電力管理センター	Power Control Center	โรงงานไฟฟ้า	Centro de Controle de Energia	Centro de Control de Energía	Machtkontroll-Zentrum	Электростанция	Centre de contrôle	전력 제어 공장
STAGE_NAME_241011	沙漠工廠	沙漠工厂	油田	Oil Field	โรงงานทะเลทราย	Campo de Petróleo	Campo Petrolero	Ölfeld	Нефтебаза	Champ pétrolier	사막 공장
STAGE_NAME_241021	電力管理工廠	电力管理工厂	電力管理センター	Power Control Center	โรงงานไฟฟ้า	Centro de Controle de Energia	Centro de Control de Energía	Machtkontroll-Zentrum	Электростанция	Centre de contrôle	전력 제어 공장
STAGE_NAME_241031	雪原基地	雪原基地	スノーベース	Snow Base	ฐานทัพหิมะ	Base da Neve	Base de Nieve	Schnee-Base	Снежная база	Base enneigée	설원 기지
